Автор,Цитата,Link
 --> "Хун Цзычен","Тот, кто предан учению, должен в самом себе почтить движущую силу Неба и душою стать, как чистая яшма, дабы сердцем откликаться каждому существу.",http://forismatic.com/ru/efe052189b/
 --> "Чак Норрис","Удерживайте фокус внимания на том, что происходит здесь и сейчас, и тогда вы будете сохранять контроль над собой. ",http://forismatic.com/ru/4b9d45df6f/
 --> "Чжуан Цзы","Тот, кто полагается на оружие гибнет. ",http://forismatic.com/ru/89ff5b9683/
 --> "Шакти Гавэйн","Мы вносим вклад в этот мир уже тем, что в каждое мгновение являемся самими собой. ",http://forismatic.com/ru/26124dc828/
 --> "Шри Ауробиндо","Трагедии сердца и тела — это плач детей из-за мелких бед и сломанных игрушек. Улыбнись про себя, но утешь детей, и прими участие, если можешь, в их игре. ",http://forismatic.com/ru/2578c347e6/
 --> "Шри Ауробиндо","Бог любит в нужный момент свалять дурака. Человек же делает это и вовремя, и невовремя. В этом вся разница. ",http://forismatic.com/ru/25d1c62acf/
 --> "Шри Ауробиндо","Если пред тобою великая цель, а возможности твои ограничены, все равно действуй. Ибо только через действие могут возрасти твои возможности.",http://forismatic.com/ru/838b683806/
 --> "Шри Ауробиндо","Своей движущей силой мир полагает свет разума, в действительности же его приводят в движение собственные вера и интуиция. ",http://forismatic.com/ru/3057eb658e/
 --> "Эдуард Де Боно","Совершенствуя дилижанс, можно создать совершенный дилижанс; но первоклассный автомобиль — едва ли. ",http://forismatic.com/ru/35ce310b6b/
 --> Эзоп,"Лаской почти всегда добьешься больше, чем грубой силой. ",http://forismatic.com/ru/e2245c1655/
 --> Эпиктет,"Люди, презирающие тебя за твою кротость, ничего не понимают в том, что добро для человека. Так что же тебе за дело до их суждений?",http://forismatic.com/ru/34212921f4/
 --> "Эрих Мария Ремарк","Никогда не следует мельчить то, что начал делать с размахом. ",http://forismatic.com/ru/6fcd98c6ea/
 --> "Эрих Мария Ремарк","Кто слишком часто оглядывается назад, легко может споткнуться и упасть.",http://forismatic.com/ru/7a68701d1b/
 --> Ювенал,"Спор никого не убеждает, а разъединяет и озлобляет. Что молоток для гвоздей, то спор для мнений людей. Мнения, еще шаткие, после споров становятся так же твердо забиты в головы, как гвозди до шляпок.",http://forismatic.com/ru/8b99601679/
 --> "Ян Коменский","Хочешь быть спокойным? Не рассеивайся многими вещами, не занимайся ненужными делами, не поддавайся гневу.",http://forismatic.com/ru/432ad3a5f4/
 --> "к/ф «Форрест Гамп»","Жизнь — как коробка конфет, никогда не знаешь, что вытащишь.",http://forismatic.com/ru/0aa56cfd26/
 --> 
